,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
condor-dry-ski-slope,condor-dry-ski-slope,Europe,United Kingdom,Scotland,https://www.skiresort.info/ski-resort/condor-dry-ski-slope/,70.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
reichshof-schemmerhausen,reichshof-schemmerhausen,Europe,Germany,North Rhine-Westphalia (Nordrhein-Westfalen),https://www.skiresort.info/ski-resort/reichshof-schemmerhausen/,350.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
ascher-rauth-fuchstal,ascher-rauth-fuchstal,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/ascher-rauth-fuchstal/,674.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
schoenberg-niederurmelsdorf-siegenburg,schoenberg-niederurmelsdorf-siegenburg,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/schoenberg-niederurmelsdorf-siegenburg/,440.0,0.0,0.2,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
mattnerhalde-prem,mattnerhalde-prem,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/mattnerhalde-prem/,770.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
guarda,guarda,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/guarda/,1670.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
rezovacke-krcevine-bilogora,rezovacke-krcevine-bilogora,Europe,Croatia,Continental Croatia (Kontinentalna Hrvatska) ,https://www.skiresort.info/ski-resort/rezovacke-krcevine-bilogora/,193.0,0.4,0.3,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
trient,trient,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/trient/,1350.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
nunningen,nunningen,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/nunningen/,700.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
cronhuette,cronhuette,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/cronhuette/,509.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
stajkowa-kroscienko-nad-dunajcem,stajkowa-kroscienko-nad-dunajcem,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/stajkowa-kroscienko-nad-dunajcem/,521.0,0.3,0.5,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
eversberg-meschede,eversberg-meschede,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/eversberg-meschede/,385.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
bonka-kirchbach-st-andrae-woerdern,bonka-kirchbach-st-andrae-woerdern,Europe,Austria,Lower Austria (Niederösterreich),https://www.skiresort.info/ski-resort/bonka-kirchbach-st-andrae-woerdern/,403.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
siretorp-sandfors,siretorp-sandfors,Europe,Sweden,Northern Sweden (Norrland),https://www.skiresort.info/ski-resort/siretorp-sandfors/,144.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
barbara-izer,barbara-izer,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/barbara-izer/,596.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
bielawa,bielawa,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/bielawa/,365.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
unterweissenbach,unterweissenbach,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/unterweissenbach/,478.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
langkampfen,langkampfen,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/langkampfen/,543.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
kendal-ski-centre,kendal-ski-centre,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/kendal-ski-centre/,67.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
kosutnjak-belgrade,kosutnjak-belgrade,Europe,Serbia,,https://www.skiresort.info/ski-resort/kosutnjak-belgrade/,167.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
hesjoebacken,hesjoebacken,Europe,Sweden,South Sweden (Sydsverige),https://www.skiresort.info/ski-resort/hesjoebacken/,140.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
beskidek-szczyrk,beskidek-szczyrk,Europe,Poland,Silesia (Województwo śląskie),https://www.skiresort.info/ski-resort/beskidek-szczyrk/,547.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
wirtsberg-bartholomaeheubach,wirtsberg-bartholomaeheubach,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/wirtsberg-bartholomaeheubach/,690.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
zolwik,zolwik,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/zolwik/,785.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
stocksberg-beilstein,stocksberg-beilstein,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/stocksberg-beilstein/,515.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
dissenhorn-goellsdorf-rottweil,dissenhorn-goellsdorf-rottweil,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/dissenhorn-goellsdorf-rottweil/,615.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
hatzesberg-ruderting,hatzesberg-ruderting,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/hatzesberg-ruderting/,412.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
nishine-choeishigarai,nishine-choeishigarai,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/nishine-choeishigarai/,378.0,0.7,0.2,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
greifenstein,greifenstein,Europe,Germany,Hesse (Hessen),https://www.skiresort.info/ski-resort/greifenstein/,435.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
kirchdorfer-huegel-bad-woerishofen,kirchdorfer-huegel-bad-woerishofen,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/kirchdorfer-huegel-bad-woerishofen/,635.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
czarny-kamien,czarny-kamien,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/czarny-kamien/,721.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
breitenwang,breitenwang,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/breitenwang/,850.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
oberliezheim-bissingen,oberliezheim-bissingen,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/oberliezheim-bissingen/,520.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
moosbach,moosbach,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/moosbach/,916.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
pradis-ci-bedollo,pradis-ci-bedollo,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/pradis-ci-bedollo/,1050.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,0.0,,,,,
plas-y-brenin,plas-y-brenin,Europe,United Kingdom,Wales,https://www.skiresort.info/ski-resort/plas-y-brenin/,190.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
hvornum-alpincenter-hobro,hvornum-alpincenter-hobro,Europe,Denmark,,https://www.skiresort.info/ski-resort/hvornum-alpincenter-hobro/,19.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
laubendorf,laubendorf,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/laubendorf/,363.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
mautgrube-oberau-berchtesgaden,mautgrube-oberau-berchtesgaden,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/mautgrube-oberau-berchtesgaden/,1198.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
lassekrog,lassekrog,Europe,Sweden,Central Sweden,https://www.skiresort.info/ski-resort/lassekrog/,228.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
wollau-pressath,wollau-pressath,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/wollau-pressath/,478.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
vilkaviskis,vilkaviskis,Europe,Lithuania,Marijampolė,https://www.skiresort.info/ski-resort/vilkaviskis/,220.0,0.3,0.6,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
salamandra-koscielisko,salamandra-koscielisko,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/salamandra-koscielisko/,995.0,0.2,0.4,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
polmonthill-ski-centre,polmonthill-ski-centre,Europe,United Kingdom,Scotland,https://www.skiresort.info/ski-resort/polmonthill-ski-centre/,37.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
lida,lida,Europe,Sweden,Central Sweden,https://www.skiresort.info/ski-resort/lida/,73.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
djaevlebakken-holstebro,djaevlebakken-holstebro,Europe,Denmark,Central Denmark (Region Midtjylland),https://www.skiresort.info/ski-resort/djaevlebakken-holstebro/,42.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
torquay-alpine-ski-club,torquay-alpine-ski-club,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/torquay-alpine-ski-club/,110.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
omagari,omagari,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/omagari/,179.0,0.5,0.1,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
dicki-weisslingen,dicki-weisslingen,Europe,Switzerland,Zürich,https://www.skiresort.info/ski-resort/dicki-weisslingen/,620.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
haenscheberg-neusalza-spremberg,haenscheberg-neusalza-spremberg,Europe,Germany,Saxony (Sachsen),https://www.skiresort.info/ski-resort/haenscheberg-neusalza-spremberg/,385.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
kesselrain-heidelstein,kesselrain-heidelstein,Europe,Germany,Hesse (Hessen),https://www.skiresort.info/ski-resort/kesselrain-heidelstein/,852.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
im-steinchen-daaden,im-steinchen-daaden,Europe,Germany,Rhineland-Palatinate (Rheinland-Pfalz),https://www.skiresort.info/ski-resort/im-steinchen-daaden/,470.0,0.0,0.2,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
idealhanglift-niederdorf-obermaiselstein,idealhanglift-niederdorf-obermaiselstein,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/idealhanglift-niederdorf-obermaiselstein/,850.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
staffelberg-bad-staffelstein,staffelberg-bad-staffelstein,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/staffelberg-bad-staffelstein/,445.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
tuernental-fuernsal-dornhan,tuernental-fuernsal-dornhan,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/tuernental-fuernsal-dornhan/,559.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
dynamite-hill-chestertown,dynamite-hill-chestertown,North America,USA,New York,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,281.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
svata-anna,svata-anna,Europe,Czech Republic,Vysočina Region (Kraj Vysočina),https://www.skiresort.info/ski-resort/svata-anna/,530.0,0.5,0.3,0.0,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
moeklinta,moeklinta,Europe,Sweden,Central Sweden,https://www.skiresort.info/ski-resort/moeklinta/,78.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
zegiestow,zegiestow,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/zegiestow/,475.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
marmecke,marmecke,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/marmecke/,465.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
kalinchok-kuri,kalinchok-kuri,Asia,Nepal,,https://www.skiresort.info/ski-resort/kalinchok-kuri/,3390.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
berger-anger-berg-im-drautal,berger-anger-berg-im-drautal,Europe,Austria,Carinthia (Kärnten),https://www.skiresort.info/ski-resort/berger-anger-berg-im-drautal/,686.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
raetansbyn,raetansbyn,Europe,Sweden,Northern Sweden (Norrland),https://www.skiresort.info/ski-resort/raetansbyn/,461.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
gagraslift-steingaden,gagraslift-steingaden,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/gagraslift-steingaden/,806.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
oberau-berchtesgaden,oberau-berchtesgaden,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/oberau-berchtesgaden/,760.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
lingonbacken-karlshamn,lingonbacken-karlshamn,Europe,Sweden,South Sweden (Sydsverige),https://www.skiresort.info/ski-resort/lingonbacken-karlshamn/,40.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
renan,renan,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/renan/,940.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
erlenberg-thurmansbang,erlenberg-thurmansbang,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/erlenberg-thurmansbang/,570.0,0.0,0.2,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
whickham-thorns-outdoor-activity-centre,whickham-thorns-outdoor-activity-centre,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/whickham-thorns-outdoor-activity-centre/,36.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
christs-college-ski-club-guildford,christs-college-ski-club-guildford,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/christs-college-ski-club-guildford/,43.0,0.1,0.1,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
carlisle-snowsports,carlisle-snowsports,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/carlisle-snowsports/,25.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
hohenzellerstrasse-ried-im-innkreis,hohenzellerstrasse-ried-im-innkreis,Europe,Austria,Upper Austria (Oberösterreich),https://www.skiresort.info/ski-resort/hohenzellerstrasse-ried-im-innkreis/,464.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
duerbheim,duerbheim,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/duerbheim/,887.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
scheuerfeld,scheuerfeld,Europe,Germany,Rhineland-Palatinate (Rheinland-Pfalz),https://www.skiresort.info/ski-resort/scheuerfeld/,270.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
losiowka,losiowka,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/losiowka/,645.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
hirschbergarena-wickenrode-helsa,hirschbergarena-wickenrode-helsa,Europe,Germany,Hesse (Hessen),https://www.skiresort.info/ski-resort/hirschbergarena-wickenrode-helsa/,430.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
kandrse-vidrga,kandrse-vidrga,Europe,Slovenia,Zasavska,https://www.skiresort.info/ski-resort/kandrse-vidrga/,455.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
slagterbanken-froebjerg-bavnehoej,slagterbanken-froebjerg-bavnehoej,Europe,Denmark,Southern Denmark (Syddanmark),https://www.skiresort.info/ski-resort/slagterbanken-froebjerg-bavnehoej/,127.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
mackov-kamen-krupanj,mackov-kamen-krupanj,Europe,Serbia,,https://www.skiresort.info/ski-resort/mackov-kamen-krupanj/,923.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
wiesen-gruob,wiesen-gruob,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/wiesen-gruob/,1403.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
tallington-lakes,tallington-lakes,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/tallington-lakes/,17.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
dola-planken,dola-planken,Europe,Liechtenstein,,https://www.skiresort.info/ski-resort/dola-planken/,815.0,0.1,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
schneckenstein-tannenbergsthal,schneckenstein-tannenbergsthal,Europe,Germany,Saxony (Sachsen),https://www.skiresort.info/ski-resort/schneckenstein-tannenbergsthal/,820.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
roter-buehl-neufra,roter-buehl-neufra,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/roter-buehl-neufra/,756.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
hachenburg,hachenburg,Europe,Germany,Central Uplands of Germany (Deutsche Mittelgebirge),https://www.skiresort.info/ski-resort/hachenburg/,410.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
schoellenbach,schoellenbach,Europe,Germany,Hesse (Hessen),https://www.skiresort.info/ski-resort/schoellenbach/,350.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
pian-san-giacomo,pian-san-giacomo,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/pian-san-giacomo/,1200.0,0.2,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.4,,,,,,,,,,,,,,,,,,,,,,,
cioresti,cioresti,Europe,Moldova,,https://www.skiresort.info/ski-resort/cioresti/,320.0,0.4,0.3,0.0,,,,,,,0,0,0,-,1.2,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,
beijing-four-seasons-ski-resort,beijing-four-seasons-ski-resort,Asia,China,Beijing,https://www.skiresort.info/ski-resort/beijing-four-seasons-ski-resort/,60.0,0.6,0.1,0.0,,,,,,,0,0,0,-,1.2,1.2,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,
kudowa-zdroj,kudowa-zdroj,Europe,Poland,Lower Silesia (Województwo dolnośląskie),https://www.skiresort.info/ski-resort/kudowa-zdroj/,501.0,,,,,,,,0.0,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
hedelands-skicenter,hedelands-skicenter,Europe,Denmark,,https://www.skiresort.info/ski-resort/hedelands-skicenter/,78.0,0.4,0.0,0.1,,,,,0.0,,130,0,80,Danish Krone,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,
hanslmuehle-mauern,hanslmuehle-mauern,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/hanslmuehle-mauern/,460.0,0.7,0.3,0.0,,,,0.0,,,0,0,0,-,1.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,
ohlstadt,ohlstadt,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/ohlstadt/,730.0,0.3,0.0,0.0,,,,,0.0,,0,0,0,-,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,
alpine-snowsports-aldershot,alpine-snowsports-aldershot,Europe,United Kingdom,England,https://www.skiresort.info/ski-resort/alpine-snowsports-aldershot/,111.0,0.1,0.0,0.0,,,,0.0,0.0,,0,0,0,-,1.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,
simpsioe,simpsioe,Europe,Finland,West Finland (Länsi-Suomi),https://www.skiresort.info/ski-resort/simpsioe/,140.0,1.8,0.0,0.0,,,,,,,32,0,21,European Euro,,,,,,,,,,,,,,,,,,,,,,,,,,
kolsaas-skisenter,kolsaas-skisenter,Europe,Norway,Akershus,https://www.skiresort.info/ski-resort/kolsaas-skisenter/,350.0,1.3,0.0,0.0,,,,,,,260,0,0,Norwegian krone,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
horni-udoli,horni-udoli,Europe,Czech Republic,Olomouc Region (Olomoucký kraj),https://www.skiresort.info/ski-resort/horni-udoli/,780.0,1.5,0.0,0.0,,,,,,,290,0,240,Czech koruna,,,,,,,,,,,,,,,,,,,,,,,,,,
boyce-park,boyce-park,North America,USA,Pennsylvania,https://www.skiresort.info/ski-resort/boyce-park/,380.0,1.0,0.0,0.0,,,,,,,25,0,0,US Dollar,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
