Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",AprÃ¨s-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes,Total Skiable Distance
ankogel-mallnitz,Europe,Austria,Carinthia (KÃ¤rnten),https://www.skiresort.info/ski-resort/ankogel-mallnitz/,2636.0,2.8,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,39.0,26.0,European Euro,2.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8
smugglers-notch,North America,USA,Vermont,https://www.skiresort.info/ski-resort/smugglers-notch/,1112.0,13.0,41.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,68.0,US Dollar,3.7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
red-lodge-mountain,North America,USA,Montana,https://www.skiresort.info/ski-resort/red-lodge-mountain/,2870.0,11.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,62.0,35.0,US Dollar,3.5,3.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
mount-snow,North America,USA,Vermont,https://www.skiresort.info/ski-resort/mount-snow/,1095.0,6.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,98.0,0.0,US Dollar,3.4,3.7,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
49-degrees-north-mountain-resort,North America,USA,Washington State,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,1760.0,20.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,65.0,US Dollar,3.5,3.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
alyeska-resort-girdwood,North America,USA,Alaska,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,840.0,14.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,50.0,US Dollar,3.4,3.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
aussois,Europe,France,Auvergne-RhÃ´ne-Alpes,https://www.skiresort.info/ski-resort/aussois/,2750.0,30.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,28.0,European Euro,3.4,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
pila,Europe,Italy,Aosta Valley (Valle d'Aosta),https://www.skiresort.info/ski-resort/pila/,2740.0,8.3,35.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,47.0,42.0,33.0,European Euro,3.3,3.6,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3
gore-mountain,North America,USA,New York,https://www.skiresort.info/ski-resort/gore-mountain/,1097.0,6.7,28.2,23.3,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,80.0,US Dollar,3.3,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2
soerenberg-rothorndorf,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/soerenberg-rothorndorf/,2350.0,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,43.0,27.0,Swiss Franc,3.5,3.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
bogus-basin,North America,USA,Idaho,https://www.skiresort.info/ski-resort/bogus-basin/,2311.0,11.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,52.0,29.0,US Dollar,3.2,3.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
riserva-bianca-limone-piemonte,Europe,Italy,Piedmont (Piemonte),https://www.skiresort.info/ski-resort/riserva-bianca-limone-piemonte/,2060.0,7.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,10.0,European Euro,3.3,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
kirkwood,North America,USA,Western United States,https://www.skiresort.info/ski-resort/kirkwood/,2987.0,15.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,121.0,98.0,US Dollar,3.5,3.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
bridger-bowl-bozeman,North America,USA,Montana,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,2682.0,20.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,59.0,43.0,US Dollar,3.6,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
loon-mountain,North America,USA,New Hampshire,https://www.skiresort.info/ski-resort/loon-mountain/,930.0,13.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,94.0,0.0,US Dollar,3.1,3.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
